name,gender,rollNumber,cpi,department,preferences
Riya Sen,male,23B0041,8.11,ME,"[100, 29, 75, 2, 1, 32]"
Tara Vyas,male,23B2106,7.8,CL,"[83, 23, 97, 15, 10, 64]"
Simran Swamy,male,23B2287,8.17,CL,"[76, 34, 84, 8, 11, 39]"
Vikas Dixit,female,23B0749,8.38,CL,"[87, 11, 76, 10, 32, 33]"
Ramesh Kapadia,male,23B0026,8.93,ME,"[79, 6, 98, 19, 2, 92]"
Maya Mahajan,male,23B0371,9.05,ME,"[73, 30, 85, 3, 19, 36]"
Aditi Jha,male,23B4205,6.29,ME,"[78, 2, 85, 20, 24, 4]"
Vishal Joshi,male,23B2711,8.03,CL,"[79, 19, 68, 13, 7, 22]"
Sanya Ghosh,male,23B1249,8.05,CL,"[98, 22, 90, 5, 6, 35]"
Divya Iyer,female,23B1270,7.15,CL,"[72, 38, 77, 2, 21, 48]"
Manisha Verma,male,23B1060,9.93,ME,"[98, 2, 93, 16, 7, 87]"
Aditi Joshi,male,23B0443,8.22,ME,"[74, 5, 81, 6, 9, 37]"
Vikram Trivedi,male,23B1233,8.59,ME,"[100, 39, 84, 4, 28, 58]"
Nisha Jha,male,23B0001,8.79,CL,"[99, 37, 68, 17, 34, 36]"
Rajat Kulkarni,male,23B0967,7.18,CL,"[99, 20, 69, 9, 35, 0]"
Neelam Bhatia,female,23B1046,6.26,CL,"[73, 21, 73, 0, 1, 21]"
Sanjay Bhatia,male,23B2409,7.13,ME,"[81, 7, 65, 9, 2, 50]"
Pooja Agarwal,male,23B2217,9.0,ME,"[93, 4, 75, 12, 18, 85]"
Simran Kulkarni,male,23B1219,7.43,ME,"[91, 3, 73, 9, 6, 87]"
Bhavna Pande,male,23B0678,8.56,CL,"[93, 34, 62, 8, 32, 18]"
Vikram Desai,male,23B0958,6.81,CL,"[77, 26, 93, 2, 11, 89]"
Amitabh Sethi,female,23B2497,8.67,CL,"[70, 8, 93, 2, 29, 67]"
Lata Deshmukh,male,23B0410,6.54,ME,"[80, 6, 77, 2, 18, 14]"
Ramesh Jha,male,23B1817,7.33,ME,"[92, 13, 85, 11, 33, 95]"
Rohit Saxena,female,23B4218,9.15,ME,"[72, 13, 63, 14, 23, 83]"
Riya Reddy,male,23B2468,7.62,CL,"[92, 7, 88, 11, 34, 91]"
Pooja Malik,male,23B3026,9.99,CL,"[84, 30, 67, 18, 17, 60]"
Amitabh Mishra,female,23B2150,6.1,CL,"[74, 31, 89, 3, 32, 31]"
Lata Karthik,male,23B0309,8.77,ME,"[96, 2, 88, 11, 28, 85]"
Saurabh Saxena,male,23B1848,8.16,ME,"[95, 17, 80, 8, 18, 3]"
Tanvi Menon,male,23B1277,8.04,ME,"[85, 8, 93, 6, 7, 56]"
Ananya Mathur,male,23B0364,6.49,CL,"[74, 16, 93, 0, 12, 42]"
Kabir Mathur,male,23B0358,9.48,CL,"[74, 33, 66, 20, 34, 44]"
Aditi Nair,female,23B2147,8.56,CL,"[71, 6, 66, 7, 28, 28]"
Smita Saxena,male,23B0340,6.37,ME,"[98, 9, 96, 17, 27, 64]"
Siddhi Chauhan,male,23B2213,6.72,ME,"[96, 1, 71, 7, 3, 48]"
Smita Chauhan,male,23B1031,9.78,ME,"[94, 1, 62, 10, 1, 94]"
Pooja Vyas,male,23B3908,8.77,CL,"[89, 28, 91, 6, 2, 70]"
Ayesha Pandey,male,23B0910,8.08,CL,"[78, 30, 92, 0, 12, 36]"
Sameer Tiwari,female,23B1260,8.26,CL,"[75, 22, 92, 5, 11, 69]"
Sanjay Mehta,male,23B0624,9.72,ME,"[75, 27, 80, 15, 21, 43]"
Priya Mukherjee,male,23B0344,9.5,ME,"[75, 6, 87, 17, 32, 88]"
Arnav Vyas,male,23B0422,7.97,ME,"[75, 25, 94, 7, 11, 13]"
Diya Mathur,male,23B0430,9.74,CL,"[100, 3, 90, 15, 25, 88]"
Sanya Khanna,male,23B0707,8.41,CL,"[90, 32, 63, 13, 8, 59]"
Akash Kapadia,female,23B1045,8.49,CL,"[94, 16, 81, 7, 35, 53]"
Nisha Mathur,male,23B2137,6.61,ME,"[89, 11, 84, 16, 28, 72]"
Pranav Sen,male,23B0359,9.51,ME,"[70, 40, 72, 19, 32, 26]"
Vishal Prasad,male,23B3003,8.53,ME,"[95, 38, 60, 15, 9, 63]"
Tanvi Chakraborty,male,23B3025,8.85,CL,"[76, 2, 95, 11, 8, 41]"
Ishita Bhatt,male,23B0904,6.32,CL,"[92, 8, 68, 11, 18, 40]"
Simran Roy,female,23B1202,9.96,CL,"[91, 30, 92, 8, 11, 67]"
Lata Gogoi,male,23B2460,6.98,ME,"[94, 32, 72, 5, 2, 89]"
Raj Agarwal,male,23B0657,6.98,ME,"[80, 7, 67, 8, 21, 2]"
Divya Bhatia,male,23B2459,7.98,ME,"[84, 20, 85, 12, 5, 9]"
Vikas Naidu,male,23B0614,7.64,CL,"[83, 12, 90, 13, 7, 9]"
Naina Reddy,male,23B3032,6.86,CL,"[96, 17, 70, 20, 16, 79]"
Rakesh Sengupta,female,23B1540,8.44,CL,"[82, 32, 74, 18, 4, 7]"
Kartik Reddy,male,23B2200,8.9,ME,"[86, 0, 63, 9, 9, 25]"
Rekha Banerjee,male,23B1018,9.62,ME,"[73, 33, 93, 6, 32, 91]"
Manish Yadav,male,23B2469,8.96,ME,"[96, 39, 68, 7, 32, 8]"
Siddharth Saxena,male,23B2266,9.39,CL,"[75, 23, 92, 0, 7, 92]"
Maya Dasgupta,male,23B2453,7.59,CL,"[83, 34, 80, 6, 4, 91]"
Anjali Kumar,female,23B0314,7.56,CL,"[79, 31, 69, 16, 30, 47]"
Naina Tiwari,male,23B0348,9.25,ME,"[72, 7, 99, 6, 9, 4]"
Shreya Joshi,male,23B3004,6.31,ME,"[98, 38, 95, 7, 3, 72]"
Anita Rana,female,23B1048,8.29,ME,"[73, 26, 74, 5, 34, 19]"
Rekha Mehta,female,23B1280,6.92,MM,"[79, 17, 68, 6, 32, 85]"
Ajay Trivedi,male,23B2490,6.39,CE,"[88, 38, 83, 17, 1, 53]"
Karan Sharma,male,23B0307,8.76,MM,"[82, 25, 93, 16, 6, 90]"
Anika Raut,male,23B1312,7.95,CE,"[79, 19, 95, 7, 13, 41]"
Vikas Jha,male,23B0379,8.89,CE,"[96, 31, 66, 2, 13, 0]"
Akash Bhatt,male,23B2721,7.02,MM,"[90, 2, 99, 19, 13, 24]"
Shruti Swamy,female,23B0686,9.61,MM,"[96, 1, 90, 18, 12, 71]"
Saurabh Kapadia,male,23B1815,7.37,CE,"[82, 30, 77, 9, 12, 57]"
Nisha Gautam,male,23B0326,7.94,MM,"[87, 21, 85, 2, 2, 33]"
Aditi Agarwal,male,23B0714,8.36,CE,"[84, 5, 63, 0, 14, 43]"
Raj Bhardwaj,male,23B0403,9.69,CE,"[96, 10, 88, 3, 4, 38]"
Nidhi Sen,male,23B0064,9.94,CE,"[74, 24, 84, 18, 12, 80]"
Isha Vyas,female,23B1803,6.22,CE,"[94, 18, 96, 5, 29, 38]"
Rajesh Yadav,male,23B2509,9.59,MM,"[77, 40, 80, 13, 25, 1]"
Ananya Tiwari,male,23B1513,8.78,MM,"[79, 30, 75, 6, 13, 24]"
Vikas Kumar,male,23B3990,6.62,CE,"[94, 40, 84, 4, 25, 52]"
Rohit Patel,male,23B1283,9.74,CE,"[93, 30, 71, 12, 33, 24]"
Rajesh Nair,male,23B2264,8.96,MM,"[71, 10, 97, 18, 16, 48]"
Diya Raman,female,23B2402,8.42,MM,"[98, 17, 84, 11, 4, 64]"
Sonal Dubey,male,23B2167,9.37,CE,"[91, 12, 74, 7, 33, 9]"
Anita Nair,male,23B1001,6.4,MM,"[84, 6, 90, 3, 12, 52]"
Neha Jha,male,23B1034,7.41,CE,"[76, 26, 85, 11, 8, 84]"
Gaurav Joshi,male,23B3916,7.92,CE,"[73, 1, 98, 8, 28, 48]"
Saurabh Joshi,male,23B3016,7.91,CE,"[75, 7, 64, 14, 35, 57]"
Ishita Roy,female,23B2241,8.35,MM,"[93, 3, 94, 12, 25, 66]"
Aarav Deshmukh,male,23B2228,8.19,CE,"[95, 24, 62, 15, 22, 61]"
Ritu Khanna,male,23B1061,6.25,MM,"[76, 26, 92, 18, 5, 99]"
Nisha Chakraborty,male,23B2269,6.14,CE,"[77, 29, 71, 5, 30, 22]"
Gaurav Pandey,male,23B0302,7.77,CE,"[70, 11, 72, 10, 21, 64]"
Karan Nair,male,23B0040,8.52,MM,"[83, 20, 86, 6, 18, 36]"
Deepak Swamy,female,23B1247,7.23,CE,"[92, 9, 86, 19, 8, 53]"
Kiran Sengupta,female,23B4233,9.43,CE,"[75, 2, 76, 2, 1, 83]"
Amitabh Gogoi,male,23B1015,9.51,MM,"[76, 38, 84, 7, 30, 25]"
Maya Sinha,male,23B0674,8.78,MM,"[98, 2, 83, 0, 17, 38]"
Nisha Pillai,male,23B1058,7.52,CE,"[98, 28, 96, 20, 0, 89]"
Sanjay Sengupta,male,23B1829,6.88,CE,"[100, 22, 83, 10, 2, 4]"
Sanjay Mathur,female,23B0951,9.94,CE,"[86, 15, 88, 16, 11, 82]"
Rahul Singh,male,23B0338,7.3,MM,"[84, 34, 97, 13, 21, 64]"
Sneha Banerjee,male,23B0607,6.84,MM,"[100, 6, 73, 3, 7, 96]"
Rajesh Chauhan,male,23B0671,8.95,CE,"[80, 12, 71, 0, 28, 71]"
Pallavi Rana,male,23B2504,8.15,CE,"[75, 26, 96, 5, 29, 92]"
Raj Shukla,male,23B2247,6.71,MM,"[78, 13, 72, 6, 27, 84]"
Riya Khandelwal,female,23B2256,6.2,MM,"[88, 13, 94, 20, 32, 7]"
Maya Solanki,male,23B0053,7.32,CE,"[88, 23, 90, 7, 29, 70]"
Arnav Chakraborty,male,23B1205,8.87,MM,"[73, 26, 65, 14, 10, 79]"
Ananya Dutta,male,23B1536,9.63,CE,"[98, 16, 95, 18, 20, 32]"
Diya Solanki,male,23B1820,6.35,CE,"[91, 40, 82, 1, 16, 75]"
Aditi Nikam,male,23B2733,8.73,MM,"[93, 12, 66, 10, 14, 64]"
Ritu Patel,female,23B0042,6.35,MM,"[99, 33, 71, 15, 6, 1]"
Ramesh Solanki,male,23B0617,8.46,CE,"[71, 6, 96, 0, 34, 45]"
Vishal Sengupta,male,23B2116,8.26,MM,"[72, 21, 73, 19, 19, 5]"
Shreya Chakraborty,male,23B1077,6.31,CE,"[99, 34, 79, 0, 29, 44]"
Bhavna Menon,male,23B1300,7.38,CE,"[77, 38, 62, 14, 32, 66]"
Pallavi Malhotra,male,23B0031,6.85,MM,"[98, 30, 78, 11, 29, 88]"
Pooja Bose,female,23B1043,6.87,MM,"[85, 16, 97, 6, 11, 9]"
Aditya Yadav,male,23B0770,7.16,CE,"[86, 10, 61, 4, 8, 59]"
Manisha Yadav,male,23B0960,6.99,CE,"[95, 14, 90, 15, 16, 19]"
Siddhi Sen,male,23B0377,9.44,MM,"[89, 9, 82, 20, 29, 91]"
Vivek Chakraborty,male,23B2511,9.91,CE,"[77, 36, 65, 20, 12, 83]"
Neetu Bhardwaj,male,23B3008,6.48,CE,"[71, 27, 73, 12, 25, 43]"
Nikhil Gupta,female,23B1802,8.85,MM,"[70, 13, 83, 6, 24, 60]"
Smita Mathur,male,23B0426,8.17,CE,"[94, 1, 65, 12, 8, 99]"
Siddharth Dixit,male,23B0673,6.86,CE,"[74, 19, 86, 18, 9, 44]"
Rohan Rao,male,23B2183,7.09,MM,"[71, 33, 64, 20, 17, 51]"
Naina Bose,male,23B2713,6.96,CE,"[86, 33, 73, 18, 3, 55]"
Sachin Kapadia,male,23B0646,8.57,MM,"[78, 12, 86, 9, 17, 81]"
Sanya Naidu,female,23B1232,7.9,CE,"[86, 25, 67, 5, 23, 35]"
Meera Swamy,female,23B1818,8.92,CE,"[93, 10, 62, 10, 20, 33]"
Yash Joshi,male,23B1206,8.64,MM,"[74, 29, 85, 12, 24, 46]"
Siddhi Solanki,male,23B1849,6.8,CE,"[79, 25, 76, 8, 25, 8]"
Maya Dubey,male,23B1524,7.98,MM,"[72, 30, 80, 6, 19, 77]"
Tanvi Gautam,male,23B2442,6.55,CE,"[93, 9, 62, 6, 7, 5]"
Prakash Rajput,female,23B2426,8.74,CE,"[74, 1, 78, 5, 19, 48]"
Manish Nair,male,23B0769,6.03,MM,"[82, 22, 83, 3, 24, 17]"
Shruti Joshi,male,23B0603,7.37,CE,"[84, 16, 82, 14, 31, 68]"
Siddharth Iyer,male,23B2423,8.43,MM,"[92, 33, 72, 5, 5, 81]"
Abhishek Yadav,male,23B4212,7.02,CE,"[74, 18, 65, 16, 7, 75]"
Anika Gautam,male,23B2404,8.48,MM,"[82, 27, 63, 14, 1, 15]"
Tara Rajput,female,23B0434,8.29,MM,"[71, 37, 96, 13, 4, 15]"
Kabir Gupta,male,23B0965,7.46,CE,"[95, 27, 81, 8, 6, 81]"
Nidhi Bhattacharya,male,23B2532,9.64,CE,"[79, 34, 61, 3, 15, 17]"
Nisha Ranganathan,male,23B0724,6.9,MM,"[91, 25, 71, 19, 28, 88]"
Rohan Thakur,male,23B0991,7.51,CE,"[87, 17, 63, 11, 33, 52]"
Pranav Dutta,male,23B0018,9.35,MM,"[75, 35, 95, 13, 23, 54]"
Manish Kapadia,female,23B0343,6.28,CE,"[80, 37, 92, 14, 26, 66]"
Rajesh Dubey,male,23B0927,9.13,MM,"[75, 21, 80, 12, 30, 71]"
Neelam Solanki,male,23B0351,8.35,CE,"[99, 16, 60, 18, 19, 13]"
Anushka Banerjee,male,23B0996,8.42,MM,"[98, 36, 75, 10, 21, 79]"
Meera Sen,male,23B0405,6.2,CE,"[76, 36, 64, 16, 0, 7]"
Neetu Mukherjee,male,23B4241,8.46,MM,"[100, 23, 93, 17, 2, 54]"
Rajesh Sood,female,23B0717,9.55,CE,"[99, 15, 93, 6, 16, 92]"
Rajesh Banerjee,male,23B0427,9.95,MM,"[78, 36, 83, 3, 10, 17]"
Meera Khanna,male,23B1285,7.64,CE,"[72, 20, 62, 20, 16, 14]"
Rohan Nandan,male,23B1538,6.67,MM,"[99, 9, 61, 5, 25, 29]"
Nidhi Patel,male,23B3974,9.26,CE,"[74, 39, 80, 10, 7, 12]"
Yash Nandan,male,23B2475,7.88,MM,"[97, 19, 88, 14, 26, 56]"
Karan Kapadia,female,23B2480,8.75,CE,"[73, 33, 95, 10, 29, 0]"
Rohan Ranganathan,male,23B2437,6.6,MM,"[88, 17, 94, 13, 35, 76]"
Saurabh Raut,male,23B1084,6.26,CE,"[79, 35, 97, 1, 35, 63]"
Kiran Ranganathan,male,23B0072,8.69,MM,"[70, 12, 83, 16, 0, 26]"
Nikhil Nandan,male,23B3936,7.59,CE,"[78, 8, 89, 12, 27, 57]"
Rajat Bhattacharya,male,23B0993,9.98,MM,"[94, 8, 77, 5, 15, 84]"
Abhishek Nair,female,23B1855,7.56,CE,"[98, 31, 74, 18, 32, 11]"
Sanjay Reddy,female,23B2499,8.07,CE,"[98, 23, 74, 12, 16, 92]"
Vishal Pande,male,23B0023,9.35,MM,"[81, 7, 73, 0, 7, 59]"
Pallavi Ghosh,male,23B2236,6.31,CE,"[84, 34, 63, 16, 5, 37]"
Rhea Chakraborty,male,23B1071,7.57,MM,"[81, 24, 96, 7, 5, 82]"
Tarun Malik,male,23B2439,6.62,CE,"[75, 38, 100, 18, 17, 29]"
Nikhil Chakraborty,female,23B1291,6.53,MM,"[94, 9, 65, 11, 6, 98]"
Sameer Dixit,male,23B0380,8.31,CE,"[79, 23, 97, 0, 29, 1]"
Anjali Deshmukh,male,23B2718,9.51,CE,"[77, 5, 64, 1, 8, 13]"
Swati Nambiar,male,23B2130,8.7,MM,"[86, 14, 85, 9, 13, 55]"
Ajay Malhotra,male,23B2440,7.91,CE,"[98, 14, 82, 16, 1, 64]"
Tara Banerjee,male,23B0432,6.79,MM,"[85, 6, 100, 16, 35, 92]"
Alka Reddy,female,23B0753,7.91,CE,"[96, 24, 65, 2, 26, 39]"
Manav Kumar,male,23B1070,8.61,MM,"[86, 20, 88, 4, 33, 88]"
Deepak Solanki,male,23B0332,9.73,CE,"[100, 15, 98, 14, 18, 51]"
Ananya Sharma,male,23B0318,8.47,MM,"[87, 30, 79, 4, 13, 38]"
Sanjay Kapoor,male,23B0416,8.83,CE,"[74, 19, 72, 11, 3, 74]"
Nikhil Mahajan,male,23B1208,7.17,CE,"[72, 25, 67, 18, 4, 10]"
Shreya Raut,female,23B0081,7.31,MM,"[79, 1, 62, 8, 3, 23]"
Maya Raut,male,23B2522,6.65,CE,"[82, 20, 97, 15, 23, 3]"
Anita Chauhan,male,23B1861,7.71,CE,"[85, 35, 64, 5, 0, 52]"
Divya Nandan,male,23B0650,9.08,MM,"[71, 8, 95, 13, 8, 94]"
Manav Chakraborty,male,23B1838,8.33,CE,"[86, 21, 79, 6, 1, 2]"
Rakesh Rana,male,23B2259,8.54,MM,"[91, 31, 80, 6, 8, 45]"
Ananya Nandan,male,23B1823,8.45,CE,"[83, 11, 88, 18, 8, 56]"
Rohan Sen,female,23B2286,7.85,CE,"[84, 21, 83, 0, 25, 22]"
Sneha Chatterjee,male,23B0037,7.29,MM,"[81, 36, 69, 3, 3, 75]"
Rahul Thakur,male,23B1535,7.75,CE,"[99, 3, 79, 4, 1, 35]"
Devansh Banerjee,male,23B1229,7.54,MM,"[99, 30, 61, 18, 22, 92]"
Aditya Jain,male,23B0750,6.66,CE,"[78, 2, 76, 11, 13, 32]"
Shreya Trivedi,female,23B4220,6.65,MM,"[99, 11, 100, 11, 26, 57]"
Meera Rana,male,23B3002,8.56,CE,"[75, 39, 94, 0, 34, 64]"
Kabir Sood,male,23B2272,6.1,CE,"[87, 40, 81, 1, 21, 74]"
Yash Sinha,male,23B0685,6.75,MM,"[71, 0, 71, 17, 22, 6]"
Ananya Dixit,male,23B2706,8.09,CE,"[90, 36, 74, 8, 6, 21]"
Siddharth Shukla,male,23B0971,6.59,MM,"[81, 7, 87, 5, 10, 75]"
Meera Gautam,female,23B2528,7.99,CE,"[81, 0, 88, 15, 34, 69]"
Devansh Dutta,female,23B0956,6.18,MM,"[74, 6, 84, 5, 0, 87]"
Kiran Pande,male,23B0057,7.12,CE,"[93, 26, 80, 3, 10, 27]"
Vikas Das,male,23B3017,6.93,CE,"[73, 32, 61, 20, 29, 81]"
Sanjay Gupta,male,23B0316,9.57,MM,"[80, 8, 97, 17, 35, 5]"
Anika Kulkarni,male,23B0050,8.94,CE,"[95, 17, 79, 20, 13, 94]"
Divya Verma,female,23B0979,6.84,CE,"[100, 39, 72, 13, 34, 7]"
Kavya Suresh,male,23B1521,9.26,MM,"[81, 19, 73, 11, 8, 91]"
Sachin Joshi,male,23B2527,8.19,CE,"[88, 4, 94, 13, 10, 51]"
